166,95
179,10
194,104
203,160
196,170
205,26
208,184
226,57
215,164
244,60
233,207
259,215
259,164
256,189
256,154
260,78
263,26
263,205
283,131
277,169
291,166
291,95
286,61
299,167
321,194
321,104
324,185
337,320
336,17
353,166
369,123
353,95
353,291
377,95
384,95
377,353
377,166
384,353
377,291
384,166
384,377
384,291
398,55
389,110
418,256
418,189
418,154
409,326
423,294
437,209
443,346
455,167
455,299
444,383
458,104
464,94
451,183
458,321
458,194
457,106
486,284
502,394
506,383
506,444
508,228
519,21
522,196
520,209
522,170
520,437
540,364
541,383
541,506
553,290
541,444
568,416
579,258
583,564
578,334
601,23
589,568
589,416
603,346
603,443
594,567
606,594
620,189
620,154
620,418
620,256
608,511
619,14
618,95
610,184
610,208
618,353
618,166
618,377
618,384
618,291
649,160
649,203
633,313
655,278
655,215
665,23
654,412
660,451
658,328
666,245
660,183
671,283
671,131
674,117
682,17
674,556
682,110
683,21
683,549
683,608
683,228
683,508
682,336
683,511
683,519
672,280
682,389
696,640
691,104
682,564
691,321
691,194
691,458
720,104
720,691
720,321
720,194
720,458
713,314
735,161
739,294
739,423
743,671
743,283
743,131
741,394
741,502
766,210
760,300
755,120
773,7
775,479
786,640
786,696
794,601
794,23
793,185
793,324
807,104
809,316
807,321
810,475
807,458
807,691
807,720
807,194
813,317
814,721
811,528
811,16
817,660
817,451
828,346
828,443
817,183
827,161
828,603
818,337
818,320
833,671
831,17
831,682
833,743
833,283
834,730
833,131
831,336
827,735
850,601
850,23
849,541
850,794
853,104
849,383
866,17
866,682
853,321
849,506
870,640
853,458
849,444
866,831
870,696
866,336
870,786
853,691
853,720
853,194
853,807
886,819
887,683
889,612
911,104
887,648
895,479
911,321
895,775
911,458
911,691
911,720
899,456
911,853
905,594
905,567
905,606
911,194
911,807
915,154
915,418
915,620
935,164
929,915
929,154
942,739
929,418
942,294
942,423
929,620
935,655
935,259
954,345
949,485
941,905
956,327
941,594
941,567
941,606
948,728
